id,student_id,department_id,title,description,image_url,status,created_at
49,39,2,Lighting issues in study room,The problem recurs frequently and a permanent solution is needed.,,in_progress,2024-03-03 08:43:01
50,38,7,Slow internet in computer lab,The matter is urgent as final exams are approaching.,,resolved,2024-11-05 10:48:58
51,73,1,Attendance marked incorrectly,Several attempts to resolve this informally have failed.,uploads/complaint_51.jpg,resolved,2024-12-05 11:07:22
52,80,9,Missing study materials on LMS,The problem was first noticed last week and has not been addressed yet.,,in_progress,2025-01-26 05:01:22
53,15,7,Exam timetable clash,The problem recurs frequently and a permanent solution is needed.,uploads/complaint_53.jpg,resolved,2024-04-23 03:09:16
54,91,9,Library books not returned to shelves,The problem recurs frequently and a permanent solution is needed.,uploads/complaint_54.jpg,in_progress,2024-03-20 04:53:38
55,94,7,Air conditioning not functioning,Students are unable to complete their work due to this issue.,,pending,2024-09-25 06:17:45
56,39,8,Exam timetable clash,This issue is impacting the daily routine of students and staff.,,resolved,2024-12-07 10:32:16
57,44,2,Lecture room double-booked,The issue has been persisting for several days and affecting many students.,,resolved,2024-10-12 19:44:01
58,40,2,Course registration system error,The issue has been persisting for several days and affecting many students.,uploads/complaint_58.jpg,resolved,2024-06-17 20:21:08
59,14,10,Air conditioning not functioning,The problem was first noticed last week and has not been addressed yet.,uploads/complaint_59.jpg,pending,2025-03-28 01:09:17
60,39,8,Security concern near hostel,Several attempts to resolve this informally have failed.,,resolved,2024-04-12 23:02:50
61,32,5,Broken chairs in lecture hall,The matter is urgent as final exams are approaching.,,pending,2024-11-01 12:13:43
62,62,4,Projector not working in classroom,The matter is urgent as final exams are approaching.,uploads/complaint_62.jpg,resolved,2024-04-03 03:34:40
63,50,10,Broken chairs in lecture hall,The matter is urgent as final exams are approaching.,,resolved,2024-12-12 17:32:41
64,96,6,Projector not working in classroom,This was reported verbally before but no action was taken.,,resolved,2024-12-06 06:27:44
65,74,2,Lighting issues in study room,This issue is impacting the daily routine of students and staff.,uploads/complaint_65.jpg,resolved,2024-05-12 19:57:42
66,67,3,Scholarship disbursement delayed,This was reported verbally before but no action was taken.,,resolved,2025-03-08 00:16:12
67,73,8,Lighting issues in study room,The matter is urgent as final exams are approaching.,uploads/complaint_67.jpg,pending,2024-03-22 07:30:48
68,47,8,Lab equipment malfunctioning,Students are unable to complete their work due to this issue.,uploads/complaint_68.jpg,in_progress,2024-10-02 06:53:15
69,15,8,Exam timetable clash,This has been affecting academic activities and needs urgent resolution.,,in_progress,2024-08-02 16:02:16
70,55,5,Missing study materials on LMS,Several attempts to resolve this informally have failed.,uploads/complaint_70.jpg,in_progress,2024-06-11 09:32:59
71,22,4,Scholarship disbursement delayed,The problem recurs frequently and a permanent solution is needed.,uploads/complaint_71.jpg,in_progress,2025-01-18 19:01:07
72,94,8,Elevator out of service,The issue has been persisting for several days and affecting many students.,,pending,2024-07-21 23:32:13
73,51,10,Attendance marked incorrectly,Students are unable to complete their work due to this issue.,,in_progress,2025-03-17 11:59:05
74,54,6,Security concern near hostel,Students are unable to complete their work due to this issue.,,pending,2024-04-17 17:11:19
75,36,6,Broken chairs in lecture hall,This was reported verbally before but no action was taken.,uploads/complaint_75.jpg,resolved,2024-06-11 18:34:57
76,39,8,Parking area overcrowded,The matter is urgent as final exams are approaching.,uploads/complaint_76.jpg,resolved,2024-08-21 19:28:41
77,24,4,Canteen food quality issues,The problem was first noticed last week and has not been addressed yet.,,in_progress,2025-03-04 20:59:59
78,28,5,WiFi connectivity issues in lab,The issue has been persisting for several days and affecting many students.,uploads/complaint_78.jpg,in_progress,2024-04-22 02:01:13
79,93,8,Broken chairs in lecture hall,The issue has been persisting for several days and affecting many students.,,in_progress,2024-12-22 02:56:00
80,55,3,WiFi connectivity issues in lab,Several attempts to resolve this informally have failed.,,resolved,2024-03-05 18:05:23
81,63,8,Projector not working in classroom,The matter is urgent as final exams are approaching.,,resolved,2024-05-09 21:14:40
82,84,5,Projector not working in classroom,The problem was first noticed last week and has not been addressed yet.,uploads/complaint_82.jpg,pending,2024-07-08 07:06:47
83,78,7,Elevator out of service,Students are unable to complete their work due to this issue.,uploads/complaint_83.jpg,pending,2024-12-13 01:58:03
84,51,10,Missing study materials on LMS,The issue has been persisting for several days and affecting many students.,uploads/complaint_84.jpg,resolved,2024-06-24 09:26:50
85,92,4,Parking area overcrowded,Multiple students have reported this problem. Immediate attention is required.,,pending,2024-03-13 07:18:38
86,32,1,Lighting issues in study room,Students are unable to complete their work due to this issue.,,resolved,2024-02-09 08:27:03
87,41,5,Security concern near hostel,Several attempts to resolve this informally have failed.,,resolved,2024-07-14 07:20:06
88,45,10,Printing facility out of paper,The problem was first noticed last week and has not been addressed yet.,uploads/complaint_88.jpg,in_progress,2024-05-09 17:21:49
89,46,3,Projector not working in classroom,The issue has been persisting for several days and affecting many students.,,pending,2024-08-26 04:05:28
90,68,2,Elevator out of service,Several attempts to resolve this informally have failed.,uploads/complaint_90.jpg,resolved,2025-02-06 17:28:39
91,81,8,Elevator out of service,Multiple students have reported this problem. Immediate attention is required.,uploads/complaint_91.jpg,in_progress,2024-09-21 08:30:35
92,89,5,Library books not returned to shelves,Multiple students have reported this problem. Immediate attention is required.,uploads/complaint_92.jpg,pending,2024-01-31 02:43:23
93,98,5,Fee payment portal error,The issue has been persisting for several days and affecting many students.,,resolved,2025-02-21 02:11:13
94,95,8,Parking area overcrowded,This has been affecting academic activities and needs urgent resolution.,,resolved,2025-01-30 22:25:59
95,23,8,Attendance marked incorrectly,The problem recurs frequently and a permanent solution is needed.,uploads/complaint_95.jpg,in_progress,2024-05-18 21:59:33
96,54,7,Security concern near hostel,Students are unable to complete their work due to this issue.,uploads/complaint_96.jpg,pending,2025-03-17 06:32:38
97,16,8,Projector not working in classroom,This issue is impacting the daily routine of students and staff.,,pending,2024-11-23 22:22:08
98,77,1,Printing facility out of paper,This was reported verbally before but no action was taken.,,in_progress,2025-02-20 16:24:38
99,58,10,Course registration system error,Students are unable to complete their work due to this issue.,uploads/complaint_99.jpg,resolved,2024-06-21 02:36:02
100,46,9,Air conditioning not functioning,Several attempts to resolve this informally have failed.,uploads/complaint_100.jpg,in_progress,2024-04-18 07:32:46
